LOTE,BLOC,COMARCA,codINE,Municipi,Pob.,Estancia Minima
2,1,Anoia,8036,Calonge de Segarra,195,30 MINUTOS
2,1,Anoia,8060,Castellfollit de Riubregós,159,30 MINUTOS
2,1,Anoia,8170,Prats de Rei,554,1 HORA
2,1,Anoia,8176,Pujalt,204,30 MINUTOS
2,1,Anoia,8189,Sant Pere Sallavinera,167,30 MINUTOS
2,1,Anoia,8228,Sant Martí Sesgueioles,361,1 HORA
2,1,Anoia,8008,Argençola,216,30 MINUTOS
2,1,Anoia,8071,Copons,333,1 HORA
2,1,Anoia,8103,Jorba,806,1 HORA
2,1,Anoia,8133,Montmaneu,166,30 MINUTOS
2,1,Anoia,8185,Rubió,244,30 MINUTOS
2,1,Anoia,8297,Veciana,182,30 MINUTOS
2,1,Anoia,8021,Bellprat,74,30 MINUTOS
2,1,Anoia,8025,Bruc,2218,1 HORA
2,1,Anoia,8063,Castellolí,636,1 HORA
2,1,Anoia,8152,Orpí,159,30 MINUTOS
2,1,Anoia,8257,Santa Maria de Miralles,138,30 MINUTOS
2,1,Anoia,8028,Cabrera d'Anoia,1606,1 HORA
2,1,Anoia,8286,Torre de Claramunt,3966,1 HORA
2,1,Anoia,8292,Vallbona d'Anoia,1387,1 HORA
2,1,Anoia,8104,Llacuna,942,1 HORA
2,1,Conca Barb.,43046,Conesa,109,30 MINUTOS
2,1,Conca Barb.,43073,Llorac,96,30 MINUTOS
2,1,Conca Barb.,43101,Passanant i Belltall,170,30 MINUTOS
2,1,Conca Barb.,43105,Piles,224,30 MINUTOS
2,1,Conca Barb.,43143,Savallà del Comtat,52,30 MINUTOS
2,1,Conca Barb.,43159,Vallfogona de Riucorb,89,30 MINUTOS
2,1,Conca Barb.,43061,Forès,48,30 MINUTOS
2,1,Conca Barb.,43130,Rocafort de Queralt,241,30 MINUTOS
2,1,Anoia,8048,Carme,754,1 HORA
2,2,Alt Penedès,8122,Mediona,2517,1 HORA
2,2,Alt Penedès,8085,Font-rubí,1446,1 HORA
2,2,Alt Penedès,8168,Pontons,507,1 HORA
2,2,Alt Penedès,8288,Torrelles de Foix,2557,1 HORA
